Wallet,Age_Days,Days_Active,Total_Tx,Avg_Tx_Day,max_addresses,addr_nghbor,Tokens_Traded,Token_Counterparties,SOL_Counterparties,SOL_In,SOL_Out,Net_SOL_Transfer,SOL_Balance,USD_In,USD_Out,USD Balance,Gas_Paid_By_Others,Gap_Top4_Hrs,Gap_Others_Hrs,owner,days_since_last_sig
64axYuKcUM3m4F3SeyJM3AD53smJHSEYT2duseSfUYGh,268,58,1000.0,17.24,23,26,2,0,30,801.5,801.5,0.0,0.0,0.0,0.0,0.0,1.4104372355430184,0.99,0.0,unknown,1.0
3hQqWV9PrUN6sRVPokWqXuUWhFsmdKnVQQk3wLQYvXW7,850,3,10.0,3.33,22,5,0,0,4,74.2,74.2,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,wallet,16.0
ELLFoGDs2Gg9Pewe6f6YpTJMn49WJYq3GQD9RXHo39vt,339,67,242.0,3.61,22,23,0,0,16,1772.5,1772.5,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,0.0,0.0,wallet,9.0
Cf1SrfH4EiCDbW8qGsqVE6PLktYVUUX6zTcZWNwNzBCS,590,12,27.0,2.25,23,5,0,0,5,123.8,123.8,0.0,0.0,0.0,0.0,0.0,1.588235294117647,0.0,0.0,wallet,15.0
H2D532m8HmTAtYSpeAfGrGZAPVhgGCrxTUbEsd7zcqfn,20,1,3.0,3.0,4,3,0,0,2,34.0,34.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,wallet,23.0
ETLppWU13yWN6ibyqEYCDsCURENYGZz6eti4uGEVUqcm,903,87,431.0,4.95,23,19,1,0,17,369.9,369.9,0.0,0.0,0.0,33226.26,0.0,1.3100303951367782,2019.7,0.0,wallet,9.0
8YD6PeUtbTjsaR8agM4g7ckFwogEP5qMEU661H2K1qss,19,9,72.0,8.0,19,3,0,0,5,47.0,47.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,wallet,0.0
DFbBr7enPnSoynU52nYjPJE7t9MUJErEsk8oGAnGxPuy,672,91,1000.0,10.99,43,67,33,0,67,387.0,387.0,0.0,0.0,0.0,896.61,0.0,1.694915254237288,5335.42,321.56,unknown,361.0
2WDbekHBVXGXo6ysmPGG1Vcsa6AGzc9JQh7g2KQSSCwt,333,54,967.0,17.91,32,95,9,0,107,697.5,697.5,0.0,0.0,0.0,179.63,0.0,1.606312292358804,2353.83,0.06,wallet,3.0
8f7hk4o6bEoLdpqieuEr1XYBpbSjdJPcKArqfZjQ1CiH,130,33,1000.0,30.3,64,209,36,1,14,1953.1,1953.1,0.0,0.0,0.0,26089.55,0.0,1.531393568147014,1516.58,112.7,unknown,56.0
BgYod9J6yug8onoFdUoEe6CnjESdz4Lh2sjk38sLhM18,554,97,1000.0,10.31,45,51,27,2,37,423.6,423.6,0.0,0.0,0.0,37.07,0.0,1.639344262295082,5905.6,1189.96,wallet,3.0
2hZyBdWzempMnbXoUK4yBGDeYyjd7sVgPM2cxrWFza8p,8,6,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1407.52,0.0,0.0,56492.67,0.0,0.0,0.0,wallet,0.0
WvpdHzZRbh4xdakjeGDHzvkGacdieaGX1wUZ2Y9vorJ,139,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,142.0
8W4FQcq1WEJz6mBrJ5gCLQrTgrAyLKUxWCZ2nY6RRnFS,426,60,446.0,7.43,22,54,3,2,51,367.0,367.0,0.0,0.0,0.0,324.51,0.0,1.511864406779661,99.03,0.0,unknown,241.0
8k4z19gDYKHrqptdfDFUYh5qyFnAqnjvSMJxJv4Zru4k,139,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,142.0
9GC3MU9yvXCKGbE3zmQoPaoZJf8v6GNYkiGGeaGxEoMb,429,9,49.0,5.44,40,27,9,0,2,135.0,135.0,0.0,0.0,0.0,0.0,0.0,1.6896551724137931,904.18,8.85,unknown,379.0
EhffL4iYU9Pdj7M5W3L8b6GMqWX3kRJV8MPs1rzrpvvg,534,17,117.0,6.88,36,17,14,0,9,1153.5,1153.5,0.0,0.01,0.0,0.0,0.0,1.4444444444444444,5174.22,0.0,wallet,13.0
84uo6xiy4J8JEPSrZUCoTcCRtBNtNMCmKekmNqB6Q4fq,363,27,1000.0,37.04,29,77,43,0,20,241.2,241.2,0.0,0.0,0.0,0.0,0.0,2.277904328018223,921.01,16.58,unknown,178.0
5SaDELJqFH4FFeB2LYdzxuJBz3AzbVxx6EsV3sNLw8Jp,386,25,160.0,6.4,22,7,1,1,8,139.4,139.4,0.0,0.0,0.0,0.0,0.0,1.2213740458015268,4204.2,0.0,wallet,16.0
6s7McTa41JwrkqZCEZ9LrtmV3xK1yRWD6NdPuA61aq62,307,39,336.0,8.62,22,23,1,0,11,883.3,883.3,0.0,0.08,0.0,5516.49,0.0,1.3333333333333333,168.25,0.0,wallet,1.0
DbBrHGcDAqMM7Q8chgkEo656tvzpT9UHoPim4bituXMx,731,165,958.0,5.81,28,118,1,0,100,1845.5,1845.5,0.0,0.0,0.0,26186.42,0.0,1.1885856079404469,8357.37,0.0,wallet,2.0
3dWRmSL2ZxM9wBLjj1n8FHfuRCFJG4RJXWZoUM65iEwu,1215,2,2.0,1.0,3,3,0,0,2,32.8,32.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,unknown,1216.0
9YpcKb78nGJ3PV6vou13NczzxU6ttw9UJzEAV6oZL3JJ,12,2,5.0,2.5,4,3,0,0,3,32.8,32.8,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,wallet,15.0
CvE4XrkkUcgtqGUP86omxhNezFDoLVPNYdihEt8fEVhi,0,1,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,245.03,0.0,0.0,0.0,0.0,0.0,0.0,wallet,0.0
5LarPRs2eRDwRxWvQ9wkqGSrxR3EdHSQD8RBnuE4kFyP,1597,62,518.0,8.35,22,30,0,0,23,1979.6,1979.6,0.0,0.0,0.0,0.0,0.0,1.126086956521739,0.0,0.0,wallet,5.0
5i6SdLLfdoqBQsLxGFbi1AKgxCdaix7G2TiC5josCxx1,15,1,12.0,12.0,4,3,0,0,3,32.6,32.6,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,wallet,18.0
8TBH5qg5SK3AfnqstCGJkByK4HZgDCb1voJjxxpiMDNq,784,44,124.0,2.82,23,10,1,1,12,1011.7,1011.7,0.0,0.0,0.0,0.0,0.0,1.653333333333333,9653.03,0.0,wallet,1.0
2o5sesyhYvvNMo468t4mzMH9GjUAsZdXK49SkUNLfggc,799,2,2.0,1.0,11,3,1,0,0,0.0,0.0,0.0,0.0,0.0,1616.77,0.0,1.0,9.09,0.0,unknown,801.0
BBzFkrSFHg4idLJELivcYsaDeTbeFW81uVaonAo9Sc1z,601,74,1000.0,13.51,58,128,144,4,17,878.4,878.4,0.0,0.0,0.0,0.0,0.0,2.145922746781116,2380.36,397.83,unknown,499.0
BC81fktH3te4LZvnx5dcNM2g55Puw1WjYiqbGbT1SXBh,31,1,5.0,5.0,9,3,0,0,2,32.2,32.2,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,wallet,34.0
3rXmPd7zpeG1M8DqXFrfc6z6BeByEu7gAF7RDLtyADRe,1627,8,22.0,2.75,22,6,1,1,6,38.6,38.6,0.0,0.01,0.0,0.0,0.0,1.1578947368421053,0.41,0.0,wallet,13.0
FEG6L7PQnq9RJFLGQDq3jrRrXne2ZLpaQP87sFd2btTm,498,38,107.0,2.82,22,7,0,0,6,492.1,492.1,0.0,0.0,0.0,0.0,0.0,1.8448275862068968,0.0,0.0,wallet,1.0
FTuoWbdYUwWihspBxY8K2QVTCaEAF9MkoZ6sHDHJkMqQ,18,1,2.0,2.0,3,3,0,0,2,32.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,wallet,21.0
4334rXG5fUrpGYR377YFNBDizyjyUxTx4TXb5MBUrfiv,819,10,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unknown,732.0
D9ipHiUXWezPH1UeB1J2RZLyK8RCjovJ6KSTD3BF8bbh,606,14,72.0,5.14,22,10,0,0,17,102.4,102.4,0.0,0.0,0.0,0.0,0.0,1.2203389830508475,0.0,0.0,wallet,17.0
6D4ZGVHSgjPfd8S9WNcpnmz82n48u8L2L1ME9eF2wpw3,31,1,9.0,9.0,13,3,0,0,3,64.0,64.0,0.0,0.0,0.0,0.0,0.0,1.125,0.0,0.0,wallet,34.0
6ccnjJmt75dxWCeC2EL4LchffeMpARuoexas8AwGGCgt,26,1,5.0,5.0,4,3,0,0,3,32.0,32.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,wallet,29.0
2veSTsG2D5x3Vj1ftUfpRCfHtBvmMW5RB9CxRUsagCzc,391,5,55.0,11.0,22,5,2,1,7,177.2,177.2,0.0,0.01,0.0,0.0,0.0,1.1,0.02,0.0,wallet,16.0
GhfjHRCu17HaFAzZj4kAK3XEa4AmPuTmUqyEHmqreiFC,33,8,38.0,4.75,22,3,0,0,4,243.7,243.7,0.0,0.0,0.0,0.0,0.0,1.5833333333333333,0.0,0.0,wallet,14.0
7nbYfue8ab8yZE8W3PUjjUHHMgCyiHsufqC8jVp7AuM4,291,7,56.0,8.0,22,14,0,0,11,341.6,341.6,0.0,0.0,0.0,0.0,0.0,1.1914893617021276,0.0,0.0,wallet,37.0
DAGrWtRWQgghbexTcDHVcm5499e3zn7G77sf7HWiheE4,0,2,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,5418.89,0.0,0.0,262316.92,0.0,0.0,0.0,wallet,0.0
4zDxW6VwCAyLS1frJVdqooDMZWxD87uWnHjtWpvLrX8f,28,1,4.0,4.0,22,3,0,0,2,31.6,31.6,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,wallet,31.0
Ca3YaBmZgta6syHNNJUsKxVywKT57VESZpSxmf4BgeTa,641,1,2.0,2.0,37,9,1,0,0,94.8,94.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,unknown,644.0
Bhi948WWhTzVqUBMzXgjs4VseRFRQMtQurEjpfJuDeTJ,10,1,4.0,4.0,4,3,0,0,2,31.4,31.4,0.0,0.01,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,wallet,13.0
EC3sVMjGXaLtbbMva3zeMjNqyCXMRixPD6qXHJMKvDig,349,16,107.0,6.69,22,15,0,0,15,124.0,124.0,0.0,0.0,0.0,0.0,0.0,1.244186046511628,0.0,0.0,wallet,234.0
E22JtK5Gjd3o6J8ixApct8LeGYspPSGejyEKL4fDiUyH,491,8,39.0,4.88,22,9,1,0,8,54.8,54.8,0.0,0.0,0.0,1430.83,0.0,1.181818181818182,0.8,0.0,wallet,20.0
